Timestamp,ID,Rank,Title,Artist,Genre,Album,Number of Plays
11/6/2025 4:41:44,Samuel,10,Orange Soda,Baby Keem,Hip Hop,Die For my Bitch,4
11/6/2025 4:21:40,Samuel,4,Summers Over Interlude,Drake & Majid Jordan,Hip Hop,Views,5
11/3/2025 15:09:32,Emma,5,Bills,LunchMoney Lewis,Hip Hop,Single,50
11/3/2025 15:12:16,Emma,8,Swimming Pools,Kendrick Lamar,Hip Hop,Single,100
11/6/2025 14:56:20,Sebastian,7,MAMA,NF,Hip Hop,The Search,50
11/7/2025 13:46:14,Ellie,4,Alternative Outro,LUCKI,Hip Hop,FLAWLESS LIKE ME,27
11/7/2025 13:49:38,Ellie,9,Violent Crimes,Kanye West feat. Ty Dolla $ign & 070 Shake,Hip Hop,Ye,94
11/7/2025 9:31:24,Hazel,9,Lose yourself,Eminem,Hip Hop,8 Mile,20
11/6/2025 14:09:35,James,10,Feel Good Inc.,Gorillaz,Hip Hop,Demon Days,50
11/5/2025 15:09:46,Eleanor,1,2024,Playboi Carti,Hip Hop,I AM MUSIC,18
11/5/2025 15:14:51,Eleanor,3,2000 EXCURSION,"Travis Scott, Sheck Wes & Don Toliver",Hip Hop,JACKBOYS 2,11
11/7/2025 13:05:09,Chloe,10,Novocaine,"GenriX, COBRAL & Shiloh Dynasty",Hip Hop,Unfortunatly yours,24
11/7/2025 13:16:20,Chloe,7,The End,Lil Uzi Vert & Baby Metal,Hip Hop,Pink Tape,51
11/7/2025 18:05:19,Eleanor,6,Whatever She Wants,Bryson Tiller,Hip Hop,Single,6
11/7/2025 18:06:28,Eleanor,7,GBP (feat. 21 Savage),Central Cee/21 Savage,Hip Hop,CAN'T RUSH GREATNESS,5
11/7/2025 18:07:23,Eleanor,8,Virginia Beach,Drake,Hip Hop,For All The Dogs Scary Hours Edition,4
11/7/2025 18:08:57,Eleanor,9,Off The Meter (with Playboi Carti & Destroy Lonely),Ken Carson/Playboi Carti/Destroy Lonely,Hip Hop,More Chaos,4
11/7/2025 18:09:51,Eleanor,10,Stuff (feat. Travis Scott),Lil Baby/Travis Scott,Hip Hop,WHAM,3
11/7/2025 12:55:42,Chloe,2,Love Song,QKReign,Hip Hop,Love Song EP,82
11/5/2025 15:13:49,Jack,1,Ordinary Joe,Nujabes,Hip Hop,Modal soul,30
11/3/2025 9:41:22,Liam,8,Coolin,"Chani Nattan, Inderpal Moga, Jazzy B",Hip Hop,Single,130
11/3/2025 9:38:47,Liam,6,Bande 4,"Watan Sahi, Jasmeen Akhtar, Dr Zeus",Hip Hop,Single,160
11/3/2025 9:37:29,Liam,5,Take it Easy,Karan Aujla,Hip Hop,Four You,200
11/3/2025 9:33:07,Liam,1,295,Sidhu Moose Wala,Hip Hop,Moosetape,230
